curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.7233412322274881,['H2WP14', 'H1DS13', 'S62B', 'H1FS17', 'H1RM14', 'H1IR3', 'H2DS14', 'H2ED16', 'H1SE4', 'H1ED7', 'H2DS6', 'H2PF22', 'H2PF25', 'H2SE4', 'H1DS7', 'H2PF9', 'H1DS5', 'H1ED15', 'H1FS3', 'H2TO25', 'H1EE7', 'H2FS9', 'H2PF15', 'S60K', 'H2PF30', 'H1WP4', 'H1ED9', 'H1DA6', 'H2PF4', 'H1GH18', 'H1WP6', 'H1PF26', 'H2TO11', 'H2FS17', 'H1FS7', 'PA56', 'H2PF7', 'H2PF14', 'H2FV4', 'H1GH29', 'H1ED24', 'H1PF7', 'H1FS1', 'H2PF32', 'H2WP10', 'H2DS9', 'H2ED13', 'S62P', 'H1TO12', 'H1FS10', 'S62R', 'H2PF13', 'H2PF33', 'H1FS14', 'H2FS5', 'H1FS16', 'H2FS6', 'H2FS8', 'H1WP14', 'H1DS14', 'H1FS8', 'H2PF35', 'H1FS6', 'H2PR4', 'H2PF21', 'H2GH25', 'H1PF4', 'S59E', 'H2ED17', 'H1PF23', 'H1GH20', 'H2ED15', 'H1TO3', 'H1WP7', 'H2PF28', 'H1EE5', 'H2DS2', 'H2PF16', 'H2ED3', 'H2DS11', 'H1FS4', 'H1FS11', 'H1DS12', 'H2PF1', 'H1WP3'],17,53,24
255,0.7328199052132701,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2PF9', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H1FS9', 'H2FS1', 'H1TO12', 'H2TO1', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'H1DS15', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DS13', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14', 'H1IR3', 'H2FS2', 'H1FS17', 'H2PF16', 'H1PF10', 'H1FS13', 'H1TO1', 'H1GH17', 'H2PF33', 'S60N', 'H2DS6', 'H2WP9', 'H1PF31', 'H1PF26', 'H2TO15', 'H2DS13', 'H2WP1', 'H1TS3', 'H1PF7', 'H1WP6', 'H2GH31', 'H1WP5', 'H2PF27', 'PA56', 'H2GH24', 'H1DS8', 'H2PF25', 'H1PF24', 'H2ED15', 'H2PF31'],54,74,28
256,0.7328199052132701,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2PF9', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H1FS9', 'H2FS1', 'H1TO12', 'H2TO1', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'H1DS15', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DS13', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14', 'H1IR3', 'H2FS2', 'H1FS17', 'H2PF16', 'H1PF10', 'H1FS13', 'H1TO1', 'H1GH17', 'H2PF33', 'S60N', 'H2DS6', 'H2WP9', 'H1PF31', 'H1PF26', 'H2TO15', 'H2DS13', 'H2WP1', 'H1TS3', 'H1PF7', 'H1WP6', 'H2GH31', 'H1WP5', 'H2PF27', 'PA56', 'H2GH24', 'H1DS8', 'H2PF25', 'H1PF24', 'H2ED15', 'H2PF31'],54,74,28
257,0.7328199052132701,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2PF9', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H1FS9', 'H2FS1', 'H1TO12', 'H2TO1', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'H1DS15', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DS13', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14', 'H1IR3', 'H2FS2', 'H1FS17', 'H2PF16', 'H1PF10', 'H1FS13', 'H1TO1', 'H1GH17', 'H2PF33', 'S60N', 'H2DS6', 'H2WP9', 'H1PF31', 'H1PF26', 'H2TO15', 'H2DS13', 'H2WP1', 'H1TS3', 'H1PF7', 'H1WP6', 'H2GH31', 'H1WP5', 'H2PF27', 'PA56', 'H2GH24', 'H1DS8', 'H2PF25', 'H1PF24', 'H2ED15', 'H2PF31'],54,74,28
258,0.7328199052132701,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2PF9', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H1FS9', 'H2FS1', 'H1TO12', 'H2TO1', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'H1DS15', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DS13', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14', 'H1IR3', 'H2FS2', 'H1FS17', 'H2PF16', 'H1PF10', 'H1FS13', 'H1TO1', 'H1GH17', 'H2PF33', 'S60N', 'H2DS6', 'H2WP9', 'H1PF31', 'H1PF26', 'H2TO15', 'H2DS13', 'H2WP1', 'H1TS3', 'H1PF7', 'H1WP6', 'H2GH31', 'H1WP5', 'H2PF27', 'PA56', 'H2GH24', 'H1DS8', 'H2PF25', 'H1PF24', 'H2ED15', 'H2PF31'],54,74,28
259,0.7328199052132701,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2PF9', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H1FS9', 'H2FS1', 'H1TO12', 'H2TO1', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'H1DS15', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DS13', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14', 'H1IR3', 'H2FS2', 'H1FS17', 'H2PF16', 'H1PF10', 'H1FS13', 'H1TO1', 'H1GH17', 'H2PF33', 'S60N', 'H2DS6', 'H2WP9', 'H1PF31', 'H1PF26', 'H2TO15', 'H2DS13', 'H2WP1', 'H1TS3', 'H1PF7', 'H1WP6', 'H2GH31', 'H1WP5', 'H2PF27', 'PA56', 'H2GH24', 'H1DS8', 'H2PF25', 'H1PF24', 'H2ED15', 'H2PF31'],54,74,28
260,0.7328199052132701,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2PF9', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H1FS9', 'H2FS1', 'H1TO12', 'H2TO1', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'H1DS15', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DS13', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14', 'H1IR3', 'H2FS2', 'H1FS17', 'H2PF16', 'H1PF10', 'H1FS13', 'H1TO1', 'H1GH17', 'H2PF33', 'S60N', 'H2DS6', 'H2WP9', 'H1PF31', 'H1PF26', 'H2TO15', 'H2DS13', 'H2WP1', 'H1TS3', 'H1PF7', 'H1WP6', 'H2GH31', 'H1WP5', 'H2PF27', 'PA56', 'H2GH24', 'H1DS8', 'H2PF25', 'H1PF24', 'H2ED15', 'H2PF31'],54,74,28
261,0.7328199052132701,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2PF9', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H1FS9', 'H2FS1', 'H1TO12', 'H2TO1', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'H1DS15', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DS13', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14', 'H1IR3', 'H2FS2', 'H1FS17', 'H2PF16', 'H1PF10', 'H1FS13', 'H1TO1', 'H1GH17', 'H2PF33', 'S60N', 'H2DS6', 'H2WP9', 'H1PF31', 'H1PF26', 'H2TO15', 'H2DS13', 'H2WP1', 'H1TS3', 'H1PF7', 'H1WP6', 'H2GH31', 'H1WP5', 'H2PF27', 'PA56', 'H2GH24', 'H1DS8', 'H2PF25', 'H1PF24', 'H2ED15', 'H2PF31'],54,74,28
262,0.7328199052132701,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2PF9', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H1FS9', 'H2FS1', 'H1TO12', 'H2TO1', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'H1DS15', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DS13', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14', 'H1IR3', 'H2FS2', 'H1FS17', 'H2PF16', 'H1PF10', 'H1FS13', 'H1TO1', 'H1GH17', 'H2PF33', 'S60N', 'H2DS6', 'H2WP9', 'H1PF31', 'H1PF26', 'H2TO15', 'H2DS13', 'H2WP1', 'H1TS3', 'H1PF7', 'H1WP6', 'H2GH31', 'H1WP5', 'H2PF27', 'PA56', 'H2GH24', 'H1DS8', 'H2PF25', 'H1PF24', 'H2ED15', 'H2PF31'],54,74,28
263,0.7328199052132701,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2PF9', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H1FS9', 'H2FS1', 'H1TO12', 'H2TO1', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'H1DS15', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DS13', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14', 'H1IR3', 'H2FS2', 'H1FS17', 'H2PF16', 'H1PF10', 'H1FS13', 'H1TO1', 'H1GH17', 'H2PF33', 'S60N', 'H2DS6', 'H2WP9', 'H1PF31', 'H1PF26', 'H2TO15', 'H2DS13', 'H2WP1', 'H1TS3', 'H1PF7', 'H1WP6', 'H2GH31', 'H1WP5', 'H2PF27', 'PA56', 'H2GH24', 'H1DS8', 'H2PF25', 'H1PF24', 'H2ED15', 'H2PF31'],54,74,28
264,0.7328199052132701,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2PF9', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H1FS9', 'H2FS1', 'H1TO12', 'H2TO1', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'H1DS15', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DS13', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14', 'H1IR3', 'H2FS2', 'H1FS17', 'H2PF16', 'H1PF10', 'H1FS13', 'H1TO1', 'H1GH17', 'H2PF33', 'S60N', 'H2DS6', 'H2WP9', 'H1PF31', 'H1PF26', 'H2TO15', 'H2DS13', 'H2WP1', 'H1TS3', 'H1PF7', 'H1WP6', 'H2GH31', 'H1WP5', 'H2PF27', 'PA56', 'H2GH24', 'H1DS8', 'H2PF25', 'H1PF24', 'H2ED15', 'H2PF31'],54,74,28
265,0.7328199052132701,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2PF9', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H1FS9', 'H2FS1', 'H1TO12', 'H2TO1', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'H1DS15', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DS13', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14', 'H1IR3', 'H2FS2', 'H1FS17', 'H2PF16', 'H1PF10', 'H1FS13', 'H1TO1', 'H1GH17', 'H2PF33', 'S60N', 'H2DS6', 'H2WP9', 'H1PF31', 'H1PF26', 'H2TO15', 'H2DS13', 'H2WP1', 'H1TS3', 'H1PF7', 'H1WP6', 'H2GH31', 'H1WP5', 'H2PF27', 'PA56', 'H2GH24', 'H1DS8', 'H2PF25', 'H1PF24', 'H2ED15', 'H2PF31'],54,74,28
266,0.7328199052132701,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2PF9', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H1FS9', 'H2FS1', 'H1TO12', 'H2TO1', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'H1DS15', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DS13', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14', 'H1IR3', 'H2FS2', 'H1FS17', 'H2PF16', 'H1PF10', 'H1FS13', 'H1TO1', 'H1GH17', 'H2PF33', 'S60N', 'H2DS6', 'H2WP9', 'H1PF31', 'H1PF26', 'H2TO15', 'H2DS13', 'H2WP1', 'H1TS3', 'H1PF7', 'H1WP6', 'H2GH31', 'H1WP5', 'H2PF27', 'PA56', 'H2GH24', 'H1DS8', 'H2PF25', 'H1PF24', 'H2ED15', 'H2PF31'],54,74,28
267,0.7328199052132701,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2PF9', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H1FS9', 'H2FS1', 'H1TO12', 'H2TO1', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'H1DS15', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DS13', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14', 'H1IR3', 'H2FS2', 'H1FS17', 'H2PF16', 'H1PF10', 'H1FS13', 'H1TO1', 'H1GH17', 'H2PF33', 'S60N', 'H2DS6', 'H2WP9', 'H1PF31', 'H1PF26', 'H2TO15', 'H2DS13', 'H2WP1', 'H1TS3', 'H1PF7', 'H1WP6', 'H2GH31', 'H1WP5', 'H2PF27', 'PA56', 'H2GH24', 'H1DS8', 'H2PF25', 'H1PF24', 'H2ED15', 'H2PF31'],54,74,28
268,0.7328199052132701,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2PF9', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H1FS9', 'H2FS1', 'H1TO12', 'H2TO1', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'H1DS15', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DS13', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14', 'H1IR3', 'H2FS2', 'H1FS17', 'H2PF16', 'H1PF10', 'H1FS13', 'H1TO1', 'H1GH17', 'H2PF33', 'S60N', 'H2DS6', 'H2WP9', 'H1PF31', 'H1PF26', 'H2TO15', 'H2DS13', 'H2WP1', 'H1TS3', 'H1PF7', 'H1WP6', 'H2GH31', 'H1WP5', 'H2PF27', 'PA56', 'H2GH24', 'H1DS8', 'H2PF25', 'H1PF24', 'H2ED15', 'H2PF31'],54,74,28
269,0.7328199052132701,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2PF9', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H1FS9', 'H2FS1', 'H1TO12', 'H2TO1', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'H1DS15', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DS13', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14', 'H1IR3', 'H2FS2', 'H1FS17', 'H2PF16', 'H1PF10', 'H1FS13', 'H1TO1', 'H1GH17', 'H2PF33', 'S60N', 'H2DS6', 'H2WP9', 'H1PF31', 'H1PF26', 'H2TO15', 'H2DS13', 'H2WP1', 'H1TS3', 'H1PF7', 'H1WP6', 'H2GH31', 'H1WP5', 'H2PF27', 'PA56', 'H2GH24', 'H1DS8', 'H2PF25', 'H1PF24', 'H2ED15', 'H2PF31'],54,74,28
270,0.7328199052132701,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2PF9', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H1FS9', 'H2FS1', 'H1TO12', 'H2TO1', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'H1DS15', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DS13', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14', 'H1IR3', 'H2FS2', 'H1FS17', 'H2PF16', 'H1PF10', 'H1FS13', 'H1TO1', 'H1GH17', 'H2PF33', 'S60N', 'H2DS6', 'H2WP9', 'H1PF31', 'H1PF26', 'H2TO15', 'H2DS13', 'H2WP1', 'H1TS3', 'H1PF7', 'H1WP6', 'H2GH31', 'H1WP5', 'H2PF27', 'PA56', 'H2GH24', 'H1DS8', 'H2PF25', 'H1PF24', 'H2ED15', 'H2PF31'],54,74,28
271,0.7328199052132701,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2PF9', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H1FS9', 'H2FS1', 'H1TO12', 'H2TO1', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'H1DS15', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DS13', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14', 'H1IR3', 'H2FS2', 'H1FS17', 'H2PF16', 'H1PF10', 'H1FS13', 'H1TO1', 'H1GH17', 'H2PF33', 'S60N', 'H2DS6', 'H2WP9', 'H1PF31', 'H1PF26', 'H2TO15', 'H2DS13', 'H2WP1', 'H1TS3', 'H1PF7', 'H1WP6', 'H2GH31', 'H1WP5', 'H2PF27', 'PA56', 'H2GH24', 'H1DS8', 'H2PF25', 'H1PF24', 'H2ED15', 'H2PF31'],54,74,28
272,0.7328199052132701,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2PF9', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H1FS9', 'H2FS1', 'H1TO12', 'H2TO1', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'H1DS15', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DS13', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14', 'H1IR3', 'H2FS2', 'H1FS17', 'H2PF16', 'H1PF10', 'H1FS13', 'H1TO1', 'H1GH17', 'H2PF33', 'S60N', 'H2DS6', 'H2WP9', 'H1PF31', 'H1PF26', 'H2TO15', 'H2DS13', 'H2WP1', 'H1TS3', 'H1PF7', 'H1WP6', 'H2GH31', 'H1WP5', 'H2PF27', 'PA56', 'H2GH24', 'H1DS8', 'H2PF25', 'H1PF24', 'H2ED15', 'H2PF31'],54,74,28
273,0.7328199052132701,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2PF9', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H1FS9', 'H2FS1', 'H1TO12', 'H2TO1', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'H1DS15', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DS13', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14', 'H1IR3', 'H2FS2', 'H1FS17', 'H2PF16', 'H1PF10', 'H1FS13', 'H1TO1', 'H1GH17', 'H2PF33', 'S60N', 'H2DS6', 'H2WP9', 'H1PF31', 'H1PF26', 'H2TO15', 'H2DS13', 'H2WP1', 'H1TS3', 'H1PF7', 'H1WP6', 'H2GH31', 'H1WP5', 'H2PF27', 'PA56', 'H2GH24', 'H1DS8', 'H2PF25', 'H1PF24', 'H2ED15', 'H2PF31'],54,74,28
